Contrib, m, n
0,-6,6
0.000881059823682936,-6,5
0.004454046317214357,-6,4
0.004275342755041284,-6,3
0.020421887164038546,-6,2
0.016991304427998965,-6,1
0.008783687233984212,-6,0
0.,-6,-1
0.,-6,-2
0.,-6,-3
0.,-6,-4
0.,-6,-5
0.,-6,-6
-0.0011905955907580315,-5,6
0.,-5,5
0.0018352051111054845,-5,4
0.00359820250204247,-5,3
0.016633396509168497,-5,2
0.024908873052586586,-5,1
0.012157823881510734,-5,0
0.,-5,-1
0.,-5,-2
0.,-5,-3
0.,-5,-4
0.,-5,-5
0.,-5,-6
-0.004240743114478872,-4,6
-0.0013235475628745566,-4,5
0.,-4,4
0.004626587501293084,-4,3
0.007145018719323831,-4,2
0.03473772268954198,-4,1
0.01901369099295469,-4,0
0.,-4,-1
0.,-4,-2
0.,-4,-3
0.,-4,-4
0.,-4,-5
0.,-4,-6
-0.010826598445203471,-3,6
-0.009648945124668264,-3,5
-0.00507855107023591,-3,4
0.,-3,3
0.003761604007210045,-3,2
0.037072371042804794,-3,1
0.03643194367131141,-3,0
0.,-3,-1
0.,-3,-2
0.,-3,-3
0.,-3,-4
0.,-3,-5
0.,-3,-6
-0.008112675287819523,-2,6
-0.010245703905650074,-2,5
-0.012200213384830013,-2,4
-0.010888998843133359,-2,3
0.,-2,2
0.015041972597306465,-2,1
0.09512259612811683,-2,0
0.,-2,-1
0.,-2,-2
0.,-2,-3
0.,-2,-4
0.,-2,-5
0.,-2,-6
-0.0049140314374698235,-1,6
-0.005917641122348131,-1,5
-0.007409677921343864,-1,4
-0.009622803731457342,-1,3
-0.011695996958262279,-1,2
0.,-1,1
0.37422946594274625,-1,0
0.,-1,-1
0.,-1,-2
0.,-1,-3
0.,-1,-4
0.,-1,-5
0.,-1,-6
0.,0,6
0.,0,5
0.,0,4
0.,0,3
0.,0,2
0.,0,1
0.,0,0
0.,0,-1
0.,0,-2
0.,0,-3
0.,0,-4
0.,0,-5
0.,0,-6
0.,1,6
0.,1,5
0.,1,4
0.,1,3
0.,1,2
0.,1,1
0.37422946594274625,1,0
0.,1,-1
-0.011695996958262277,1,-2
-0.009622803731457345,1,-3
-0.0074096779213438674,1,-4
-0.005917641122348129,1,-5
-0.004914031437469822,1,-6
0.,2,6
0.,2,5
0.,2,4
0.,2,3
0.,2,2
0.,2,1
0.09512259612811683,2,0
0.015041972597306465,2,-1
0.,2,-2
-0.010888998843133359,2,-3
-0.012200213384830013,2,-4
-0.010245703905650074,2,-5
-0.008112675287819525,2,-6
0.,3,6
0.,3,5
0.,3,4
0.,3,3
0.,3,2
0.,3,1
0.036431943671311404,3,0
0.037072371042804794,3,-1
0.0037616040072100446,3,-2
0.,3,-3
-0.005078551070235913,3,-4
-0.009648945124668264,3,-5
-0.010826598445203471,3,-6
0.,4,6
0.,4,5
0.,4,4
0.,4,3
0.,4,2
0.,4,1
0.01901369099295469,4,0
0.03473772268954198,4,-1
0.007145018719323831,4,-2
0.004626587501293083,4,-3
0.,4,-4
-0.0013235475628745562,4,-5
-0.004240743114478875,4,-6
0.,5,6
0.,5,5
0.,5,4
0.,5,3
0.,5,2
0.,5,1
0.012157823881510738,5,0
0.024908873052586586,5,-1
0.016633396509168494,5,-2
0.00359820250204247,5,-3
0.001835205111105484,5,-4
0.,5,-5
-0.0011905955907580315,5,-6
0.,6,6
0.,6,5
0.,6,4
0.,6,3
0.,6,2
0.,6,1
0.008783687233984212,6,0
0.016991304427998972,6,-1
0.02042188716403855,6,-2
0.004275342755041285,6,-3
0.004454046317214357,6,-4
0.000881059823682936,6,-5
0.,6,-6
